timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;90.73;veh0;228005525#0_0;1.56;0.00;11.85;veh_passenger;72.14;660.98
1.00;90.59;veh0;:cluster_37974742_6831335375_6831335376_7_0;11.35;0.00;11.35;veh_passenger;83.49;660.86
2.00;90.66;veh0;228005525#2_0;6.05;0.00;11.50;veh_passenger;94.99;660.73
3.00;90.66;veh0;228005525#2_0;17.42;0.00;11.38;veh_passenger;106.36;660.60
4.00;90.66;veh0;228005525#2_0;28.44;0.00;11.02;veh_passenger;117.38;660.47
5.00;90.66;veh0;228005525#2_0;40.02;0.00;11.58;veh_passenger;128.96;660.34
6.00;90.66;veh0;228005525#2_0;51.85;0.00;11.82;veh_passenger;140.78;660.20
7.00;90.66;veh0;228005525#2_0;62.92;0.00;11.07;veh_passenger;151.85;660.08
8.00;90.66;veh0;228005525#2_0;74.37;0.00;11.45;veh_passenger;163.30;659.95
9.00;90.66;veh0;228005525#2_0;85.29;0.00;10.92;veh_passenger;174.22;659.82
10.00;90.66;veh0;228005525#2_0;95.54;0.00;10.25;veh_passenger;184.47;659.70
11.00;90.53;veh0;:5738654253_1_0;3.01;0.00;7.58;veh_passenger;192.05;659.63
12.00;76.73;veh0;:2366289498_7_0;5.07;0.00;8.26;veh_passenger;200.11;660.74
13.00;21.42;veh0;:2366289498_7_0;12.47;0.00;7.39;veh_passenger;203.83;666.67
14.00;0.56;veh0;5328776#2_0;6.39;0.00;8.06;veh_passenger;204.14;674.71
15.00;0.56;veh0;5328776#2_0;16.43;0.00;10.04;veh_passenger;204.24;684.74
16.00;0.56;veh0;5328776#2_0;28.16;0.00;11.73;veh_passenger;204.35;696.47
17.00;0.56;veh0;5328776#2_0;41.10;0.00;12.94;veh_passenger;204.48;709.41
18.00;359.45;veh0;:7025911058_2_0;1.80;0.00;14.13;veh_passenger;204.40;723.54
19.00;0.46;veh0;5328776#4_0;5.79;0.00;13.28;veh_passenger;204.43;736.82
20.00;359.96;veh0;-1374548060#1_0;0.82;0.00;13.16;veh_passenger;204.45;749.98
21.00;12.89;veh0;:cluster_12893603029_12893603030_37985146_6563509250_#1more_9_0;4.18;0.00;9.90;veh_passenger;205.53;759.73
22.00;74.91;veh0;:cluster_12893603029_12893603030_37985146_6563509250_#1more_9_0;14.83;0.00;10.65;veh_passenger;214.58;764.61
23.00;88.10;veh0;:cluster_12893603029_12893603030_37985146_6563509250_#1more_9_0;24.52;0.00;9.69;veh_passenger;224.23;765.18
24.00;90.21;veh0;-1184885425#0_0;10.57;0.00;10.66;veh_passenger;234.91;765.03
24.00;270.24;veh1;-5339888#3_0;5.10;0.00;0.00;veh_passenger;115.11;452.51
25.00;90.21;veh0;-1184885425#0_0;23.12;0.00;12.55;veh_passenger;247.48;764.99
25.00;270.24;veh1;-5339888#3_0;6.85;0.00;1.75;veh_passenger;113.36;452.52
26.00;103.05;veh0;:11006259223_3_0;3.43;0.00;13.47;veh_passenger;260.82;763.83
26.00;270.24;veh1;-5339888#3_0;10.51;0.00;3.66;veh_passenger;109.70;452.53
27.00;90.51;veh0;-737699689#1_0;8.92;0.00;14.00;veh_passenger;274.40;761.62
27.00;270.24;veh1;-5339888#3_0;16.25;0.00;5.75;veh_passenger;103.96;452.56
28.00;90.51;veh0;-737699689#1_0;22.11;0.00;13.19;veh_passenger;287.59;761.50
28.00;270.24;veh1;-5339888#3_0;23.58;0.00;7.33;veh_passenger;96.63;452.59
29.00;90.51;veh0;-737699689#1_0;36.10;0.00;13.99;veh_passenger;301.58;761.38
29.00;270.24;veh1;-5339888#3_0;32.51;0.00;8.92;veh_passenger;87.70;452.62
30.00;90.51;veh0;:cluster_7025251706_7025251707_15_0;0.60;0.00;13.23;veh_passenger;314.80;761.26
30.00;270.23;veh1;:6831350585_0_0;4.73;0.00;6.13;veh_passenger;81.57;452.65
31.00;90.50;veh0;-737699689#0_0;4.97;0.00;13.86;veh_passenger;328.67;761.14
31.00;220.60;veh1;:cluster_37974747_6831335382_6831335383_9_0;4.30;0.00;7.06;veh_passenger;76.49;448.53
32.00;90.50;veh0;-737699689#0_0;18.77;0.00;13.80;veh_passenger;342.45;761.02
32.00;187.94;veh1;:cluster_37974747_6831335382_6831335383_9_0;11.70;0.00;7.40;veh_passenger;75.24;441.26
33.00;88.27;veh0;:cluster_38035929_8413332365_16_0;1.75;0.00;14.06;veh_passenger;356.48;761.09
33.00;181.39;veh1;5327657#14_0;3.90;0.00;7.73;veh_passenger;74.94;433.54
34.00;80.15;veh0;:cluster_38035929_8413332365_16_0;14.77;0.00;13.01;veh_passenger;369.06;764.04
34.00;180.71;veh1;5327657#14_0;13.49;0.00;9.59;veh_passenger;74.82;423.96
35.00;89.45;veh0;-1184885420_0;13.04;0.00;13.66;veh_passenger;382.71;764.23
35.00;180.71;veh1;5327657#14_0;23.33;0.00;9.84;veh_passenger;74.70;414.12
36.00;89.45;veh0;-1184885420_0;27.13;0.00;14.08;veh_passenger;396.78;764.37
36.00;180.71;veh1;5327657#14_0;33.81;0.00;10.48;veh_passenger;74.57;403.64
37.00;89.45;veh0;-1184885420_0;40.26;0.00;13.14;veh_passenger;409.92;764.49
37.00;180.85;veh1;:37961896_1_0;7.86;0.00;9.44;veh_passenger;74.43;394.20
38.00;89.45;veh0;-1184885420_0;53.93;0.00;13.67;veh_passenger;423.58;764.62
38.00;180.91;veh1;:5428059279_0_0;5.93;0.00;9.66;veh_passenger;74.29;384.54
39.00;89.45;veh0;-1184885420_0;67.50;0.00;13.57;veh_passenger;437.15;764.75
39.00;180.91;veh1;5327657#16_0;1.69;0.00;5.16;veh_passenger;74.20;379.37
40.00;89.45;veh0;-1184885420_0;81.16;0.00;13.66;veh_passenger;450.80;764.88
40.00;177.59;veh1;:cluster_37974750_5738653229_2_0;5.42;0.00;6.89;veh_passenger;74.41;372.49
41.00;89.45;veh0;-1184885420_0;94.47;0.00;13.31;veh_passenger;464.11;765.01
